frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
1,0,5,2:254:452:65:30:0.6227;2:380:452:35:21:0.6339;2:433:451:20:16:0.3686;2:563:447:40:31:0.7874;7:604:418:46:53:0.4920,0,,-1,NONE,inf
2,0,6,2:227:453:74:31:0.4697;2:370:452:37:22:0.6156;2:427:452:25:16:0.4821;2:536:448:10:11:0.2329;2:563:447:39:31:0.7788;7:602:418:49:54:0.6214,0,,-1,NONE,inf
3,0,6,2:202:453:79:33:0.5037;2:359:451:40:23:0.6879;2:421:452:25:17:0.4251;2:537:448:9:11:0.2414;2:563:447:39:31:0.7838;7:604:418:48:53:0.6131,5,1:2:563:447:39:31;2:7:604:418:48:53;3:2:359:451:40:23;4:2:202:453:79:33;5:2:421:452:25:17,-1,NONE,inf
4,0,6,2:163:466:49:23:0.1896;2:347:450:44:24:0.7617;2:415:452:24:17:0.4857;2:537:448:9:10:0.2272;2:563:447:39:31:0.7858;7:606:417:46:54:0.6027,5,1:2:563:447:39:31;2:7:606:417:46:54;3:2:347:450:44:24;4:2:163:466:49:23;5:2:415:452:24:17,-1,NONE,inf
5,0,5,2:128:452:101:41:0.8054;2:334:450:50:25:0.5097;2:409:451:24:19:0.4389;2:563:447:39:31:0.7794;7:607:417:45:54:0.5759,5,1:2:563:447:39:31;2:7:607:417:45:54;3:2:334:450:50:25;4:2:128:452:101:41;5:2:409:451:24:19,-1,NONE,inf
6,0,5,2:79:452:122:45:0.7980;2:322:450:53:25:0.5926;2:401:450:30:18:0.3543;2:563:447:39:31:0.7965;7:606:416:47:55:0.4947,5,1:2:563:447:39:31;2:7:606:416:47:55;3:2:322:450:53:25;4:2:79:452:122:45;5:2:401:450:30:18,-1,NONE,inf
7,0,6,2:18:449:143:51:0.8051;2:303:451:56:28:0.5753;2:356:449:41:23:0.1450;2:394:452:29:17:0.4808;2:563:447:39:31:0.8034;5:609:417:43:52:0.6103,5,1:2:563:447:39:31;2:5:609:417:43:52;3:2:303:451:56:28;4:2:18:449:143:51;5:2:394:452:29:17,-1,NONE,inf
8,0,6,2:0:449:119:57:0.8342;2:283:450:56:31:0.5753;2:385:451:32:19:0.5067;2:563:446:39:32:0.8018;5:609:416:43:53:0.6526;7:336:454:22:21:0.2208,5,1:2:563:446:39:32;2:5:609:416:43:53;3:2:283:450:56:31;4:2:0:449:119:57;5:2:385:451:32:19,-1,NONE,inf
9,0,6,2:0:450:62:54:0.4802;2:261:450:54:32:0.5439;2:318:451:32:27:0.2367;2:376:451:33:20:0.5239;2:563:446:39:32:0.7886;5:609:416:44:53:0.6489,5,1:2:563:446:39:32;2:5:609:416:44:53;3:2:261:450:54:32;4:2:0:450:62:54;5:2:376:451:33:20,-1,NONE,inf
10,0,7,2:235:451:66:31:0.5284;2:275:458:31:26:0.1408;2:303:453:33:24:0.2501;2:320:454:19:20:0.4080;2:365:451:36:21:0.4542;2:563:447:39:31:0.7716;5:609:415:44:54:0.5449,4,1:2:563:447:39:31;2:5:609:415:44:54;3:2:235:451:66:31;5:2:365:451:36:21,-1,NONE,inf
