frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
1,0,5,2:254:452:65:31:0.6176;2:380:452:35:21:0.6411;2:433:451:20:16:0.3487;2:563:447:40:31:0.7800;7:604:418:47:53:0.5178,0,,-1,NONE,inf
2,0,6,2:227:453:74:31:0.4585;2:370:452:37:22:0.6227;2:427:452:24:16:0.4711;2:536:448:10:11:0.2356;2:564:447:38:31:0.7791;7:600:418:51:54:0.6380,0,,-1,NONE,inf
3,0,6,2:202:453:79:33:0.4881;2:359:451:40:23:0.6831;2:421:452:25:17:0.3845;2:537:448:9:11:0.2340;2:563:447:39:31:0.7829;7:604:418:48:53:0.6158,5,1:2:563:447:39:31;2:7:604:418:48:53;3:2:421:452:25:17;4:2:359:451:40:23;5:2:202:453:79:33,-1,NONE,inf
4,0,6,2:163:467:48:22:0.1674;2:347:450:44:24:0.7547;2:415:452:24:17:0.4761;2:537:448:9:11:0.2212;2:564:447:38:31:0.7812;7:606:417:46:54:0.6005,5,1:2:564:447:38:31;2:7:606:417:46:54;3:2:415:452:24:17;4:2:347:450:44:24;5:2:163:467:48:22,-1,NONE,inf
5,0,5,2:128:452:101:40:0.7986;2:334:450:50:25:0.4913;2:408:452:25:18:0.4188;2:564:447:38:31:0.7728;7:607:417:45:54:0.5734,5,1:2:564:447:38:31;2:7:607:417:45:54;3:2:408:452:25:18;4:2:334:450:50:25;5:2:128:452:101:40,-1,NONE,inf
6,0,5,2:80:452:121:45:0.7916;2:321:450:48:25:0.5743;2:401:450:29:18:0.3355;2:563:447:39:31:0.7903;7:606:416:47:55:0.4841,5,1:2:563:447:39:31;2:7:606:416:47:55;3:2:401:450:29:18;4:2:321:450:48:25;5:2:80:452:121:45,-1,NONE,inf
7,0,6,2:18:449:142:51:0.8042;2:303:451:56:28:0.5791;2:356:449:41:23:0.1203;2:394:451:29:19:0.4764;2:563:447:39:31:0.7974;5:609:418:43:51:0.6331,5,1:2:563:447:39:31;2:5:609:418:43:51;3:2:394:451:29:19;4:2:303:451:56:28;5:2:18:449:142:51,-1,NONE,inf
8,0,6,2:0:449:119:57:0.8317;2:283:450:56:31:0.5791;2:385:451:32:19:0.4948;2:563:446:39:32:0.7964;5:609:416:43:53:0.6572;7:336:454:22:21:0.2145,5,1:2:563:446:39:32;2:5:609:416:43:53;3:2:385:451:32:19;4:2:283:450:56:31;5:2:0:449:119:57,-1,NONE,inf
9,0,6,2:0:450:62:54:0.4923;2:261:450:55:32:0.5448;2:318:451:32:27:0.2397;2:376:451:33:20:0.5126;2:563:446:39:32:0.7880;5:609:416:44:53:0.6471,5,1:2:563:446:39:32;2:5:609:416:44:53;3:2:376:451:33:20;4:2:261:450:55:32;5:2:0:450:62:54,-1,NONE,inf
10,0,7,2:235:452:65:30:0.5248;2:275:458:31:26:0.1334;2:303:453:33:24:0.2616;2:320:454:19:20:0.4178;2:365:451:36:21:0.4517;2:563:447:39:31:0.7706;5:609:415:44:54:0.5410,4,1:2:563:447:39:31;2:5:609:415:44:54;3:2:365:451:36:21;4:2:235:452:65:30,-1,NONE,inf
