frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
1,0,5,2:254:452:65:31:0.6187;2:380:452:35:21:0.5928;2:563:447:40:31:0.7622;7:433:451:20:16:0.3774;7:604:418:47:53:0.5176,0,,-1,NONE,inf
2,0,5,2:227:453:74:31:0.4570;2:370:452:37:22:0.5737;2:427:452:25:16:0.4092;2:563:447:40:31:0.7505;7:600:418:51:54:0.6387,0,,-1,NONE,inf
3,0,5,2:202:453:79:33:0.4902;2:359:451:40:23:0.6353;2:421:452:25:17:0.3904;2:563:447:39:31:0.7720;7:604:418:48:53:0.6187,5,1:2:563:447:39:31;2:7:604:418:48:53;3:2:359:451:40:23;4:2:202:453:79:33;5:2:421:452:25:17,-1,NONE,inf
4,0,5,2:163:467:48:22:0.1666;2:347:450:44:24:0.7007;2:415:452:23:17:0.4148;2:563:447:39:31:0.7646;7:608:418:42:51:0.6372,5,1:2:563:447:39:31;2:7:608:418:42:51;3:2:347:450:44:24;4:2:163:467:48:22;5:2:415:452:23:17,-1,NONE,inf
5,0,5,2:128:452:101:40:0.7983;2:333:450:50:25:0.5195;2:409:452:28:16:0.3611;2:563:447:39:31:0.7563;7:608:418:43:51:0.6602,5,1:2:563:447:39:31;2:7:608:418:43:51;3:2:333:450:50:25;4:2:128:452:101:40;5:2:409:452:28:16,-1,NONE,inf
6,0,5,2:80:452:121:45:0.7920;2:321:450:46:25:0.5527;2:401:450:29:18:0.3345;2:563:446:40:32:0.7720;7:608:418:43:51:0.6655,5,1:2:563:446:40:32;2:7:608:418:43:51;3:2:321:450:46:25;4:2:80:452:121:45;5:2:401:450:29:18,-1,NONE,inf
7,0,7,2:18:449:142:51:0.8032;2:303:451:56:28:0.5796;2:355:449:42:23:0.1192;2:394:451:29:19:0.4727;2:412:453:13:18:0.2295;2:563:446:39:32:0.7930;7:609:418:43:51:0.6167,5,1:2:563:446:39:32;2:7:609:418:43:51;3:2:303:451:56:28;4:2:18:449:142:51;5:2:394:451:29:19,-1,NONE,inf
8,0,6,2:0:449:119:57:0.8311;2:283:450:56:31:0.5830;2:385:451:32:20:0.4961;2:563:446:39:32:0.7852;7:337:454:21:21:0.2018;7:609:417:43:51:0.6440,5,1:2:563:446:39:32;2:7:609:417:43:51;3:2:283:450:56:31;4:2:0:449:119:57;5:2:385:451:32:20,-1,NONE,inf
9,0,6,2:0:450:62:54:0.4961;2:261:450:55:32:0.5449;2:376:451:33:20:0.5117;2:563:446:39:32:0.7744;7:322:454:28:20:0.3667;7:609:416:44:53:0.6895,5,1:2:563:446:39:32;2:7:609:416:44:53;3:2:261:450:55:32;4:2:0:450:62:54;5:2:376:451:33:20,-1,NONE,inf
10,0,6,2:275:458:31:26:0.1339;2:303:453:33:24:0.2598;2:320:454:19:20:0.4016;2:365:451:36:21:0.4514;2:563:446:39:32:0.7549;7:609:416:44:52:0.7646,4,1:2:563:446:39:32;2:7:609:416:44:52;3:2:303:453:33:24;5:2:365:451:36:21,-1,NONE,inf
11,0,5,2:207:449:78:37:0.6978;2:284:451:45:28:0.5640;2:353:450:39:23:0.5449;2:563:446:39:32:0.7734;7:609:415:44:53:0.7622,4,1:2:563:446:39:32;2:7:609:415:44:53;3:2:284:451:45:28;5:2:353:450:39:23,-1,NONE,inf
12,0,5,2:170:448:89:42:0.8018;2:268:452:50:28:0.6636;2:340:450:41:26:0.5601;2:563:446:39:32:0.7773;7:609:415:45:53:0.7676,4,1:2:563:446:39:32;2:7:609:415:45:53;3:2:268:452:50:28;5:2:340:450:41:26,-1,NONE,inf
13,0,6,2:127:448:101:47:0.8481;2:253:454:50:28:0.5234;2:295:450:38:28:0.1144;2:324:451:48:28:0.4871;2:563:446:39:32:0.7705;7:610:415:44:54:0.7549,5,1:2:563:446:39:32;2:7:610:415:44:54;3:2:253:454:50:28;5:2:324:451:48:28;6:2:127:448:101:47,-1,NONE,inf
14,0,5,2:72:448:122:52:0.8760;2:233:456:56:26:0.6318;2:308:449:51:31:0.5776;2:563:446:39:32:0.7944;7:610:414:45:55:0.7607,5,1:2:563:446:39:32;2:7:610:414:45:55;3:2:233:456:56:26;5:2:308:449:51:31;6:2:72:448:122:52,-1,NONE,inf
15,0,5,2:3:447:147:55:0.8784;2:211:454:61:30:0.6909;2:290:450:53:32:0.5508;2:563:446:39:32:0.7720;7:610:414:46:55:0.7944,5,1:2:563:446:39:32;2:7:610:414:46:55;3:2:211:454:61:30;5:2:290:450:53:32;6:2:3:447:147:55,-1,NONE,inf
16,0,5,2:0:446:97:65:0.7822;2:188:454:61:30:0.7563;2:269:450:61:33:0.7339;2:563:446:39:32:0.7705;7:610:414:47:55:0.7549,5,1:2:563:446:39:32;2:7:610:414:47:55;3:2:188:454:61:30;5:2:269:450:61:33;6:2:0:446:97:65,-1,NONE,inf
17,0,5,2:0:444:29:67:0.3794;2:159:454:73:32:0.6704;2:242:452:66:32:0.4844;2:562:447:41:29:0.7788;7:611:414:47:56:0.7646,5,1:2:562:447:41:29;2:7:611:414:47:56;3:2:159:454:73:32;5:2:242:452:66:32;6:2:0:444:29:67,1,SAFE,inf
18,0,4,2:127:455:81:33:0.8501;2:213:451:74:35:0.5298;2:562:447:40:29:0.7891;7:611:413:47:56:0.7056,4,1:2:562:447:40:29;2:7:611:413:47:56;3:2:127:455:81:33;5:2:213:451:74:35,1,SAFE,inf
19,0,5,2:90:454:89:35:0.6875;2:175:448:89:43:0.6479;2:521:447:10:11:0.2006;2:562:447:40:29:0.7788;7:611:413:48:56:0.6992,4,1:2:562:447:40:29;2:7:611:413:48:56;3:2:90:454:89:35;5:2:175:448:89:43,1,SAFE,inf
20,0,5,2:47:453:99:42:0.8716;2:139:448:96:45:0.8223;2:520:447:11:11:0.2466;2:563:446:39:31:0.7891;7:611:412:48:57:0.6875,4,1:2:563:446:39:31;2:7:611:412:48:57;3:2:47:453:99:42;5:2:139:448:96:45,1,SAFE,inf
21,0,5,2:1:453:95:43:0.4495;2:91:447:108:48:0.3970;2:563:446:39:31:0.7812;2:1133:469:32:18:0.1268;7:612:411:48:58:0.7266,4,1:2:563:446:39:31;2:7:612:411:48:58;3:2:1:453:95:43;5:2:91:447:108:48,1,SAFE,inf
22,0,6,2:0:449:54:53:0.2081;2:475:451:16:10:0.3381;2:520:447:11:11:0.2673;2:563:446:39:31:0.7891;2:1187:471:37:20:0.1326;7:612:411:49:58:0.6943,3,1:2:563:446:39:31;2:7:612:411:49:58;3:2:0:449:54:53,1,SAFE,inf
23,0,4,2:0:445:99:64:0.7891;2:519:445:12:13:0.2366;2:563:446:39:31:0.7866;7:612:410:50:59:0.4863,3,1:2:563:446:39:31;2:7:612:410:50:59;3:2:0:445:99:64,1,SAFE,inf
