frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
1,0,3,2:563:447:39:31:0.5610;7:380:453:35:20:0.3117;7:604:418:47:51:0.2840,0,,-1,NONE,inf
2,0,4,2:563:447:39:31:0.5702;7:370:452:37:21:0.4262;7:427:453:24:16:0.2338;7:608:419:43:50:0.2998,0,,-1,NONE,inf
3,0,3,2:359:452:40:22:0.3052;2:563:447:39:31:0.6169;7:608:418:43:51:0.3148,2,1:2:563:447:39:31;2:2:359:452:40:22,-1,NONE,inf
4,0,5,2:167:451:86:40:0.2214;2:349:451:42:23:0.4331;2:416:452:25:17:0.2249;2:563:447:39:31:0.6086;7:608:418:43:51:0.3741,2,1:2:563:447:39:31;2:2:349:451:42:23,-1,NONE,inf
5,0,5,2:127:450:100:44:0.3167;2:334:457:35:19:0.2056;2:409:453:29:17:0.2022;2:563:447:39:31:0.5718;7:608:417:44:53:0.4328,3,1:2:563:447:39:31;2:2:334:457:35:19;3:7:608:417:44:53,-1,NONE,inf
6,0,5,2:84:449:115:48:0.2959;2:323:451:43:23:0.3918;2:401:452:29:19:0.3049;2:563:446:39:32:0.6043;7:609:417:44:53:0.4746,3,1:2:563:446:39:32;2:2:323:451:43:23;3:7:609:417:44:53,-1,NONE,inf
7,0,5,2:21:449:138:52:0.3116;2:320:451:32:27:0.2259;2:393:452:31:19:0.3187;2:563:446:39:32:0.6296;7:609:417:44:53:0.4376,4,1:2:563:446:39:32;2:2:320:451:32:27;3:7:609:417:44:53;4:2:21:449:138:52,-1,NONE,inf
8,0,4,2:0:449:118:60:0.3939;2:563:446:39:32:0.6521;7:385:451:33:20:0.2832;7:609:417:43:53:0.4772,4,1:2:563:446:39:32;3:7:609:417:43:53;4:2:0:449:118:60;5:7:385:451:33:20,-1,NONE,inf
9,0,4,2:0:452:62:50:0.1672;2:562:446:39:32:0.5757;7:375:452:35:20:0.2251;7:609:417:44:52:0.5147,4,1:2:562:446:39:32;3:7:609:417:44:52;4:2:0:452:62:50;5:7:375:452:35:20,-1,NONE,inf
10,0,4,2:320:455:19:19:0.2918;2:365:451:36:22:0.2387;2:562:446:39:32:0.5788;7:609:416:45:54:0.5199,4,1:2:562:446:39:32;2:2:320:455:19:19;3:7:609:416:45:54;5:2:365:451:36:22,-1,NONE,inf
11,0,2,2:562:446:40:32:0.6295;7:609:416:45:53:0.4902,2,1:2:562:446:40:32;3:7:609:416:45:53,-1,NONE,inf
12,0,3,2:171:449:87:41:0.1694;2:563:446:39:32:0.6224;7:609:415:45:54:0.4560,2,1:2:563:446:39:32;3:7:609:415:45:54,-1,NONE,inf
13,0,4,2:126:448:101:46:0.2626;2:325:453:42:25:0.3703;2:563:446:39:32:0.6429;7:609:415:46:54:0.4406,3,1:2:563:446:39:32;3:7:609:415:46:54;5:2:325:453:42:25,-1,NONE,inf
14,0,3,2:74:448:119:52:0.3158;2:563:446:39:32:0.5946;7:609:415:47:55:0.3795,2,1:2:563:446:39:32;3:7:609:415:47:55,-1,NONE,inf
15,0,4,2:6:447:143:54:0.3923;2:320:460:23:20:0.2691;2:562:446:40:33:0.5668;7:610:415:46:55:0.4894,3,1:2:562:446:40:33;3:7:610:415:46:55;5:2:320:460:23:20,-1,NONE,inf
16,0,3,2:0:448:97:60:0.2129;2:563:447:38:31:0.5517;7:609:415:49:55:0.4642,2,1:2:563:447:38:31;3:7:609:415:49:55,-1,NONE,inf
17,0,3,2:1:446:28:65:0.1241;2:563:446:39:32:0.5503;7:610:414:49:56:0.4521,2,1:2:563:446:39:32;3:7:610:414:49:56,1,SAFE,17.468
18,0,3,2:129:456:77:32:0.1023;2:562:446:40:32:0.5854;7:610:413:49:57:0.4257,2,1:2:562:446:40:32;3:7:610:413:49:57,1,SAFE,24.777
19,0,3,2:91:456:88:33:0.1138;2:563:446:39:32:0.5615;7:610:413:49:57:0.4284,2,1:2:563:446:39:32;3:7:610:413:49:57,1,SAFE,49.811
20,0,4,2:49:456:96:36:0.2373;2:139:448:94:45:0.1531;2:563:446:39:32:0.5721;7:611:412:49:58:0.4403,2,1:2:563:446:39:32;3:7:611:412:49:58,1,SAFE,inf
21,0,4,2:3:459:91:36:0.1240;2:88:448:109:48:0.1069;2:562:445:40:32:0.5714;7:612:411:49:59:0.4957,2,1:2:562:445:40:32;3:7:612:411:49:59,1,SAFE,inf
22,0,3,2:34:447:118:53:0.1666;2:562:445:40:32:0.5774;7:612:410:50:60:0.4593,2,1:2:562:445:40:32;3:7:612:410:50:60,1,SAFE,inf
23,0,3,2:0:445:98:64:0.2772;2:562:445:40:31:0.5365;7:612:410:51:60:0.3210,2,1:2:562:445:40:31;3:7:612:410:51:60,1,SAFE,inf
24,0,2,2:561:445:41:31:0.5412;7:612:409:52:61:0.2598,2,1:2:561:445:41:31;3:7:612:409:52:61,1,SAFE,inf
25,0,2,2:562:445:40:31:0.5082;7:612:409:52:61:0.3539,2,1:2:562:445:40:31;3:7:612:409:52:61,1,SAFE,inf
26,0,2,2:561:445:41:31:0.5687;7:613:408:52:62:0.2769,2,1:2:561:445:41:31;3:7:613:408:52:62,1,SAFE,inf
27,0,2,2:561:444:41:32:0.5801;7:613:408:52:62:0.3154,2,1:2:561:444:41:32;3:7:613:408:52:62,1,SAFE,inf
28,0,2,2:561:444:41:32:0.5751;7:614:408:52:62:0.4158,2,1:2:561:444:41:32;3:7:614:408:52:62,1,SAFE,inf
29,0,3,2:454:450:20:12:0.2184;2:562:445:40:31:0.5407;7:614:407:54:64:0.4451,2,1:2:562:445:40:31;3:7:614:407:54:64,1,SAFE,inf
30,0,2,2:562:445:40:31:0.5239;7:614:407:53:64:0.5730,2,1:2:562:445:40:31;3:7:614:407:53:64,1,SAFE,inf
31,0,3,2:446:450:23:13:0.2602;2:561:445:41:31:0.5000;7:615:406:54:65:0.6220,2,1:2:561:445:41:31;3:7:615:406:54:65,1,SAFE,inf
32,0,3,2:442:450:23:13:0.2383;2:561:444:42:33:0.5347;7:614:406:55:65:0.5776,2,1:2:561:444:42:33;3:7:614:406:55:65,1,SAFE,inf
33,0,3,2:438:450:23:14:0.2450;2:561:445:41:31:0.5232;7:615:406:55:65:0.6044,2,1:2:561:445:41:31;3:7:615:406:55:65,1,SAFE,inf
34,0,3,2:433:450:24:14:0.2523;2:561:445:41:31:0.5400;7:615:406:56:65:0.5558,2,1:2:561:445:41:31;3:7:615:406:56:65,1,SAFE,inf
35,0,3,2:428:450:24:15:0.2049;2:561:444:41:32:0.4951;7:615:405:56:66:0.6119,2,1:2:561:444:41:32;3:7:615:405:56:66,1,SAFE,inf
