frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
1,0,5,2:254:452:65:30:0.6227;2:380:452:35:21:0.5693;2:563:447:40:31:0.7642;7:433:451:20:16:0.3880;7:604:418:46:53:0.4920,0,,-1,NONE,inf
2,0,5,2:227:453:74:31:0.4697;2:370:452:37:22:0.5495;2:427:452:25:16:0.4028;2:563:447:40:31:0.7468;7:602:418:49:54:0.6214,0,,-1,NONE,inf
3,0,5,2:202:453:79:33:0.5037;2:359:451:40:23:0.6290;2:421:452:25:17:0.4080;2:563:447:39:31:0.7694;7:604:418:48:53:0.6131,5,1:2:563:447:39:31;2:7:604:418:48:53;3:2:359:451:40:23;4:2:202:453:79:33;5:2:421:452:25:17,-1,NONE,inf
4,0,5,2:163:466:49:23:0.1896;2:347:450:44:24:0.7137;2:415:452:23:17:0.4221;2:563:447:39:31:0.7684;7:608:418:42:51:0.6154,5,1:2:563:447:39:31;2:7:608:418:42:51;3:2:347:450:44:24;4:2:163:466:49:23;5:2:415:452:23:17,-1,NONE,inf
5,0,5,2:128:452:101:41:0.8054;2:333:450:50:25:0.5130;2:409:452:28:16:0.3639;2:563:447:39:31:0.7625;7:608:418:43:51:0.6375,5,1:2:563:447:39:31;2:7:608:418:43:51;3:2:333:450:50:25;4:2:128:452:101:41;5:2:409:452:28:16,-1,NONE,inf
6,0,5,2:79:452:122:45:0.7980;2:321:450:47:25:0.5592;2:401:450:30:18:0.3543;2:563:446:39:32:0.7792;7:608:418:43:51:0.6622,5,1:2:563:446:39:32;2:7:608:418:43:51;3:2:321:450:47:25;4:2:79:452:122:45;5:2:401:450:30:18,-1,NONE,inf
7,0,6,2:18:449:143:51:0.8051;2:303:451:56:28:0.5753;2:356:449:41:23:0.1450;2:393:451:31:20:0.4819;2:563:446:39:32:0.7986;7:609:418:43:51:0.6324,5,1:2:563:446:39:32;2:7:609:418:43:51;3:2:303:451:56:28;4:2:18:449:143:51;5:2:393:451:31:20,-1,NONE,inf
8,0,6,2:0:449:119:57:0.8342;2:283:450:56:31:0.5753;2:385:451:32:19:0.5036;2:563:446:39:32:0.7915;7:337:454:21:21:0.2124;7:609:417:43:51:0.6352,5,1:2:563:446:39:32;2:7:609:417:43:51;3:2:283:450:56:31;4:2:0:449:119:57;5:2:385:451:32:19,-1,NONE,inf
9,0,6,2:0:450:62:54:0.4802;2:261:450:54:32:0.5439;2:376:451:33:20:0.5239;2:563:446:39:32:0.7720;7:321:454:29:20:0.3552;7:609:416:44:53:0.6725,5,1:2:563:446:39:32;2:7:609:416:44:53;3:2:261:450:54:32;4:2:0:450:62:54;5:2:376:451:33:20,-1,NONE,inf
10,0,7,2:235:451:66:31:0.5284;2:275:458:31:26:0.1408;2:303:453:33:24:0.2501;2:320:454:19:20:0.3970;2:365:451:36:21:0.4542;2:563:446:39:32:0.7598;7:609:415:44:53:0.7647,4,1:2:563:446:39:32;2:7:609:415:44:53;3:2:235:451:66:31;5:2:365:451:36:21,-1,NONE,inf
11,0,6,2:207:449:78:37:0.7127;2:284:451:45:28:0.5606;2:353:450:39:23:0.5512;2:563:446:39:32:0.7772;2:691:519:48:26:0.1006;7:609:415:44:53:0.7498,5,1:2:563:446:39:32;2:7:609:415:44:53;3:2:207:449:78:37;5:2:353:450:39:23;6:2:284:451:45:28,-1,NONE,inf
