frame,time_sec,rank,best_class_id,best_class_name,best_score,second_class_id,second_class_name,second_score,third_class_id,third_class_name,third_score,car_score,bus_score,train_score,truck_score,boat_score,left,top,width,height,right,bottom,touches_right_edge,passes_confidence_010,passes_target_class,passes_final_filter
541,18.018,1,2,car,0.002331,7,truck,0.001420,0,person,0.000644,0.002331,0.000068,0.000033,0.001420,0.000226,972,467,46,34,1018,501,0,0,1,0
541,18.018,2,0,person,0.002007,1,bicycle,0.000070,14,bird,0.000060,0.000029,0.000000,0.000000,0.000003,0.000014,1140,559,43,50,1183,609,0,0,1,0
541,18.018,3,0,person,0.001794,14,bird,0.000101,2,car,0.000050,0.000050,0.000001,0.000000,0.000004,0.000013,1143,559,28,43,1171,602,0,0,1,0
541,18.018,4,0,person,0.001589,14,bird,0.000080,1,bicycle,0.000076,0.000038,0.000001,0.000000,0.000004,0.000017,1137,545,47,59,1184,604,0,0,1,0
541,18.018,5,0,person,0.001167,13,bench,0.000607,8,boat,0.000231,0.000215,0.000024,0.000008,0.000171,0.000231,970,457,34,41,1004,498,0,0,1,0
541,18.018,6,0,person,0.000821,14,bird,0.000067,2,car,0.000044,0.000044,0.000001,0.000000,0.000005,0.000016,1144,542,25,58,1169,600,0,0,1,0
541,18.018,7,0,person,0.000792,1,bicycle,0.000104,14,bird,0.000039,0.000026,0.000000,0.000000,0.000003,0.000013,1132,556,54,60,1186,616,0,0,1,0
541,18.018,8,0,person,0.000703,1,bicycle,0.000069,14,bird,0.000050,0.000022,0.000000,0.000000,0.000002,0.000012,1138,554,49,66,1187,620,0,0,1,0
541,18.018,9,0,person,0.000702,13,bench,0.000192,8,boat,0.000153,0.000121,0.000012,0.000007,0.000116,0.000153,973,458,40,41,1013,499,0,0,1,0
541,18.018,10,0,person,0.000690,1,bicycle,0.000057,14,bird,0.000030,0.000012,0.000000,0.000000,0.000001,0.000010,1129,557,58,74,1187,631,0,0,1,0
541,18.018,11,0,person,0.000651,14,bird,0.000089,1,bicycle,0.000088,0.000033,0.000000,0.000000,0.000003,0.000014,1137,546,52,64,1189,610,0,0,1,0
541,18.018,12,6,train,0.000600,4,airplane,0.000056,8,boat,0.000033,0.000025,0.000025,0.000600,0.000029,0.000033,30,370,1010,102,1040,472,0,0,0,0
541,18.018,13,0,person,0.000584,14,bird,0.000061,2,car,0.000040,0.000040,0.000001,0.000001,0.000005,0.000019,1131,506,54,99,1185,605,0,0,1,0
541,18.018,14,4,airplane,0.000579,6,train,0.000115,8,boat,0.000097,0.000028,0.000017,0.000115,0.000041,0.000097,893,399,386,46,1279,445,1,0,0,0
541,18.018,15,4,airplane,0.000493,6,train,0.000115,8,boat,0.000067,0.000017,0.000013,0.000115,0.000029,0.000067,871,397,408,57,1279,454,1,0,0,0
541,18.018,16,4,airplane,0.000439,8,boat,0.000112,6,train,0.000105,0.000045,0.000022,0.000105,0.000066,0.000112,913,401,366,109,1279,510,1,0,0,0
541,18.018,17,2,car,0.000421,0,person,0.000127,7,truck,0.000081,0.000421,0.000027,0.000021,0.000081,0.000034,25,438,1224,265,1249,703,1,0,1,0
541,18.018,18,4,airplane,0.000404,6,train,0.000094,8,boat,0.000087,0.000027,0.000019,0.000094,0.000049,0.000087,894,400,385,108,1279,508,1,0,0,0
541,18.018,19,2,car,0.000403,0,person,0.000131,7,truck,0.000105,0.000403,0.000030,0.000021,0.000105,0.000035,33,411,1212,294,1245,705,1,0,1,0
541,18.018,20,4,airplane,0.000396,2,car,0.000104,25,umbrella,0.000037,0.000104,0.000004,0.000027,0.000013,0.000027,884,397,395,201,1279,598,1,0,0,0
542,18.051,1,13,bench,0.008816,0,person,0.002797,2,car,0.001716,0.001716,0.000021,0.000008,0.000321,0.000405,971,469,35,30,1006,499,0,0,0,0
542,18.051,2,0,person,0.004867,13,bench,0.002890,14,bird,0.000674,0.000440,0.000010,0.000005,0.000121,0.000124,985,469,32,31,1017,500,0,0,1,0
542,18.051,3,13,bench,0.003072,0,person,0.001114,2,car,0.000911,0.000911,0.000015,0.000007,0.000176,0.000280,969,472,41,28,1010,500,0,0,0,0
542,18.051,4,2,car,0.002713,7,truck,0.001140,0,person,0.000979,0.002713,0.000054,0.000022,0.001140,0.000131,967,464,44,35,1011,499,0,0,1,0
542,18.051,5,6,train,0.001927,4,airplane,0.000101,7,truck,0.000068,0.000053,0.000059,0.001927,0.000068,0.000064,25,378,1131,95,1156,473,0,0,0,0
542,18.051,6,2,car,0.001658,0,person,0.001516,7,truck,0.000759,0.001658,0.000031,0.000016,0.000759,0.000101,975,465,43,39,1018,504,0,0,1,0
542,18.051,7,13,bench,0.001562,2,car,0.000946,8,boat,0.000300,0.000946,0.000018,0.000008,0.000200,0.000300,962,470,44,25,1006,495,0,0,0,0
542,18.051,8,4,airplane,0.001448,6,train,0.000095,2,car,0.000073,0.000073,0.000009,0.000095,0.000023,0.000048,848,365,431,83,1279,448,1,0,0,0
542,18.051,9,0,person,0.001429,13,bench,0.001258,1,bicycle,0.000476,0.000412,0.000012,0.000006,0.000131,0.000175,971,457,38,42,1009,499,0,0,1,0
542,18.051,10,2,car,0.001225,13,bench,0.000631,56,chair,0.000591,0.001225,0.000031,0.000009,0.000258,0.000109,1007,472,38,30,1045,502,0,0,1,0
542,18.051,11,4,airplane,0.001082,6,train,0.000076,8,boat,0.000052,0.000040,0.000009,0.000076,0.000020,0.000052,854,370,424,70,1278,440,1,0,0,0
542,18.051,12,4,airplane,0.001021,2,car,0.000106,14,bird,0.000066,0.000106,0.000007,0.000060,0.000017,0.000037,857,389,422,134,1279,523,1,0,0,0
542,18.051,13,4,airplane,0.000938,6,train,0.000216,33,kite,0.000141,0.000027,0.000020,0.000216,0.000048,0.000107,842,393,437,67,1279,460,1,0,0,0
542,18.051,14,4,airplane,0.000751,8,boat,0.000157,6,train,0.000149,0.000042,0.000018,0.000149,0.000051,0.000157,893,393,386,52,1279,445,1,0,0,0
542,18.051,15,4,airplane,0.000611,6,train,0.000118,7,truck,0.000086,0.000058,0.000053,0.000118,0.000086,0.000078,1158,391,121,37,1279,428,1,0,0,0
542,18.051,16,2,car,0.000600,0,person,0.000471,13,bench,0.000410,0.000600,0.000025,0.000015,0.000237,0.000143,982,471,37,37,1019,508,0,0,1,0
542,18.051,17,4,airplane,0.000537,2,car,0.000051,6,train,0.000049,0.000051,0.000007,0.000049,0.000015,0.000033,860,394,419,210,1279,604,1,0,0,0
542,18.051,18,0,person,0.000521,13,bench,0.000338,1,bicycle,0.000216,0.000104,0.000006,0.000004,0.000050,0.000074,973,457,47,45,1020,502,0,0,1,0
542,18.051,19,4,airplane,0.000487,2,car,0.000108,6,train,0.000039,0.000108,0.000005,0.000039,0.000016,0.000028,825,388,454,133,1279,521,1,0,0,0
542,18.051,20,2,car,0.000482,13,bench,0.000323,0,person,0.000243,0.000482,0.000015,0.000005,0.000092,0.000048,1006,473,50,33,1056,506,0,0,1,0
543,18.085,1,13,bench,0.004490,2,car,0.001126,1,bicycle,0.000994,0.001126,0.000011,0.000014,0.000273,0.000256,971,471,52,28,1023,499,0,0,0,0
543,18.085,2,2,car,0.003318,0,person,0.001447,7,truck,0.001364,0.003318,0.000043,0.000023,0.001364,0.000177,970,466,40,30,1010,496,0,0,1,0
543,18.085,3,2,car,0.002546,0,person,0.001407,7,truck,0.001164,0.002546,0.000031,0.000017,0.001164,0.000146,982,467,45,36,1027,503,0,0,1,0
543,18.085,4,13,bench,0.001507,2,car,0.001203,8,boat,0.000452,0.001203,0.000013,0.000013,0.000206,0.000452,968,473,53,27,1021,500,0,0,0,0
543,18.085,5,6,train,0.001429,4,airplane,0.000182,2,car,0.000069,0.000069,0.000046,0.001429,0.000060,0.000063,18,351,1112,122,1130,473,0,0,0,0
543,18.085,6,4,airplane,0.000767,8,boat,0.000101,6,train,0.000089,0.000054,0.000031,0.000089,0.000080,0.000101,1184,388,95,34,1279,422,1,0,0,0
543,18.085,7,2,car,0.000758,13,bench,0.000529,0,person,0.000410,0.000758,0.000019,0.000019,0.000293,0.000223,984,471,46,37,1030,508,0,0,1,0
543,18.085,8,0,person,0.000730,14,bird,0.000069,2,car,0.000032,0.000032,0.000000,0.000000,0.000002,0.000008,1144,559,25,40,1169,599,0,0,1,0
543,18.085,9,0,person,0.000693,14,bird,0.000045,10,fire hydrant,0.000032,0.000002,0.000000,0.000001,0.000001,0.000024,1042,567,30,85,1072,652,0,0,1,0
543,18.085,10,4,airplane,0.000632,8,boat,0.000167,6,train,0.000111,0.000038,0.000019,0.000111,0.000044,0.000167,1019,393,260,34,1279,427,1,0,0,0
543,18.085,11,0,person,0.000631,1,bicycle,0.000143,13,bench,0.000093,0.000043,0.000002,0.000002,0.000023,0.000020,1003,459,29,43,1032,502,0,0,1,0
543,18.085,12,4,airplane,0.000527,2,car,0.000043,6,train,0.000042,0.000043,0.000004,0.000042,0.000011,0.000022,875,354,404,91,1279,445,1,0,0,0
543,18.085,13,4,airplane,0.000505,6,train,0.000041,2,car,0.000031,0.000031,0.000006,0.000041,0.000014,0.000027,875,369,403,60,1278,429,1,0,0,0
543,18.085,14,0,person,0.000503,14,bird,0.000037,10,fire hydrant,0.000033,0.000006,0.000000,0.000001,0.000002,0.000026,1039,559,34,94,1073,653,0,0,1,0
543,18.085,15,0,person,0.000462,14,bird,0.000040,10,fire hydrant,0.000033,0.000002,0.000000,0.000000,0.000001,0.000025,1044,568,27,86,1071,654,0,0,1,0
